source,target,weight,Type
3029,3128,25,Undirected
3029,3129,13,Undirected
3029,3126,29,Undirected
3029,1316,8,Undirected
3029,123,20,Undirected
3029,2147,46,Undirected
3029,2143,9,Undirected
3029,2142,179,Undirected
3029,2149,29,Undirected
3029,722,90,Undirected
3029,64,63,Undirected
3029,65,375,Undirected
3029,2155,7,Undirected
3029,3125,19,Undirected
3029,4868,10,Undirected
3029,730,129,Undirected
3029,736,25,Undirected
3029,781,17,Undirected
3029,1891,48,Undirected
3029,3096,14,Undirected
3029,3916,27,Undirected
3029,3912,12,Undirected
3029,3099,130,Undirected
3029,260,35,Undirected
3029,5064,45,Undirected
3029,764,43,Undirected
3029,3619,38,Undirected
3029,3130,15,Undirected
3029,2490,52,Undirected
3029,2497,80,Undirected
3029,2780,11,Undirected
3029,3077,21,Undirected
3029,1980,18,Undirected
3029,750,69,Undirected
3029,754,19,Undirected
3029,3073,185,Undirected
3029,114,33,Undirected
3029,568,22,Undirected
3029,1740,110,Undirected
3029,3736,12,Undirected
3029,3735,20,Undirected
3029,1897,10,Undirected
3029,3104,11,Undirected
3029,3107,445,Undirected
3029,3100,80,Undirected
3029,3103,27,Undirected
3029,5206,15,Undirected
3029,3119,86,Undirected
3029,990,41,Undirected
525,1661,13,Undirected
525,1014,36,Undirected
525,3099,72,Undirected
525,3895,11,Undirected
525,1887,12,Undirected
525,1886,13,Undirected
525,3119,39,Undirected
525,3115,182,Undirected
525,3111,32,Undirected
525,2531,48,Undirected
525,2535,15,Undirected
525,3103,18,Undirected
525,2159,8,Undirected
525,4048,9,Undirected
525,1133,48,Undirected
525,1006,10,Undirected
525,1005,13,Undirected
525,1879,24,Undirected
525,3085,19,Undirected
525,3882,11,Undirected
525,5216,16,Undirected
525,5214,17,Undirected
